majority_frac,method,accuracy,f1_macro,g_mean,balanced_acc
0.8,fedavg,0.8037943085371942,0.6533881605881567,0.6151665946463488,0.6264453986314497
0.8,weighted_fedavg,0.747378931602596,0.4811383909880509,0.35410221035325096,0.45027712082135884
0.8,fedprox,0.7978032950574139,0.627985312475572,0.5695785765322916,0.6100680061175645
0.8,ditto,0.7938092860708936,0.6433094602365318,0.6184589431243322,0.638113396817095
0.5,fedavg,0.7363954068896655,0.6202631302761136,0.6340507475423802,0.6452590270367405
0.5,weighted_fedavg,0.7254118821767349,0.5739772180066992,0.5837397922585575,0.607232621706116
0.5,fedprox,0.7558662006989516,0.6096391550058324,0.6162927016983616,0.6366297794738414
0.5,ditto,0.7568647029455816,0.6086384993447098,0.6314499466696613,0.6465576715239857
0.7,fedavg,0.7623564653020469,0.6004776065575722,0.5852070466370565,0.606439015089033
0.7,weighted_fedavg,0.7343984023964054,0.5028937858857606,0.4305142409405676,0.4835950464807783
0.7,fedprox,0.7653519720419371,0.5958737283407178,0.5849458036561594,0.6093329740800879
0.7,ditto,0.7708437343984024,0.6411606603761614,0.6501620154127614,0.6635467673130995
