Method,Accuracy,F1_macro,G_mean,Balanced_Acc,IoU
Centralized,0.817773339990015,0.7187906507196907,0.7082467924312659,0.7163319535647157,
Best Local (C0),0.746380429355966,0.5396577802863248,0.44000639194251395,0.5951516920614383,
fedavg,0.8037943085371942,0.6533881605881567,0.6151665946463488,0.6264453986314497,0.5244569985829386
weighted_fedavg,0.747378931602596,0.4811383909880509,0.35410221035325096,0.45027712082135884,0.4571869831892581
fedprox,0.7978032950574139,0.627985312475572,0.5695785765322916,0.6100680061175645,0.5137166151123768
ditto,0.7938092860708936,0.6433094602365318,0.6184589431243322,0.638113396817095,0.5621068698327044
