Method,Accuracy,F1_macro,G_mean,Balanced_Acc,IoU
Centralized,0.736457437661221,0.6541335797692249,0.6361696633689415,0.6469927924943131,
Best Local (C2),0.5806104901117799,0.38035386694183076,0.04951787105882603,0.46944673251703833,
fedavg,0.7199054170249355,0.5486324532406626,0.48465921355839126,0.5163795351769839,0.42228142630897597
weighted_fedavg,0.6848667239896818,0.42632052474409865,0.2914059862341336,0.39556125549852494,0.3171242421199347
fedprox,0.7078675838349097,0.5500617018437706,0.5038021224095671,0.5335422460310276,0.5294461069546209
ditto,0.7246345657781599,0.5608942064583533,0.5008355236493908,0.5379959905844236,0.49689411397121047
