majority_frac,method,accuracy,f1_macro,g_mean,balanced_acc
0.9,fedavg,0.7199054170249355,0.5486324532406626,0.4846592135583912,0.5163795351769839
0.9,weighted_fedavg,0.6848667239896818,0.4263205247440986,0.2914059862341336,0.3955612554985249
0.5,fedavg,0.7295786758383491,0.6035015859036469,0.5599894917558159,0.5924186472610353
0.5,weighted_fedavg,0.7214101461736887,0.5970565767268154,0.5548752049907556,0.5845591104666924
0.7,fedavg,0.7123817712811694,0.5874867425514353,0.529388837807063,0.5674155708050089
0.7,weighted_fedavg,0.7098022355975925,0.5509638346059664,0.4957198759281466,0.5336149312744749
0.9,fedprox,0.7078675838349097,0.5500617018437706,0.5038021224095671,0.5335422460310276
0.9,ditto,0.7246345657781599,0.5608942064583533,0.5008355236493908,0.5379959905844236
0.5,fedprox,0.7274290627687017,0.6070856247671637,0.5470556265052753,0.5917191457292632
0.5,ditto,0.7267841788478074,0.5989448987152048,0.5610527335525755,0.5907765588013191
0.7,fedprox,0.7171109200343938,0.5839008621331625,0.5214886225761259,0.5689048871196016
0.7,ditto,0.7199054170249355,0.5786649417203293,0.5304082689038718,0.5706882076121214
