round,aggregation,f1_macro,accuracy,balanced_acc,g_mean
10,weighted_fedavg,0.6134382974185643,0.7796291319537758,0.5809108019022797,0.4825067984676094
11,weighted_fedavg,0.6158888594854004,0.7898414404729911,0.5884360054802635,0.4738159052557269
12,weighted_fedavg,0.6580390594472144,0.7992475141091104,0.620830187757526,0.5309249618672718
13,weighted_fedavg,0.6725877399177191,0.8008599838753023,0.6335625867928487,0.5437177289265881
14,weighted_fedavg,0.6521801629190043,0.8032786885245902,0.6194445025805546,0.5036999134039465
15,weighted_fedavg,0.6271899006987313,0.7957538296156947,0.6081862873517647,0.4875275124136716
16,weighted_fedavg,0.603876895473664,0.7860790110185434,0.5933236551352343,0.4678629811539795
17,weighted_fedavg,0.6396980442981032,0.8013974737973663,0.6277738950206007,0.5073704463301609
18,weighted_fedavg,0.6280119775149634,0.7995162590701425,0.6163000665145333,0.4785915493124186
19,weighted_fedavg,0.6393612993930233,0.805428648212846,0.6119840137526785,0.4808699353169761
0,fedprox,0.4936665810886238,0.6457941413598495,0.5413091188949728,0.5245126965167676
1,fedprox,0.5731167697064414,0.6820747110991668,0.5914093052841554,0.5646366098341761
2,fedprox,0.6152296476180676,0.7199677506046762,0.6472345355851647,0.6099475008419583
3,fedprox,0.6465986452192505,0.7393173877989788,0.6929058197977758,0.6786466163280054
4,fedprox,0.7097943363544308,0.7734479978500403,0.705999928918758,0.6820527868243911
5,fedprox,0.7216791344241743,0.7973662993818866,0.72516117330605,0.6969679362979698
6,fedprox,0.7417860802297895,0.7962913195377587,0.7400927278409519,0.7229081821307133
7,fedprox,0.7458340490204732,0.805697393173878,0.7334566245073482,0.7068974242034304
8,fedprox,0.7539471220316591,0.8129535071217414,0.7480229046545022,0.7267211890816027
9,fedprox,0.7757761703211351,0.8314969094329482,0.7679636455956128,0.746783188598717
10,fedprox,0.7923835422682537,0.8414404729911314,0.7757033819778199,0.7566149598281727
11,fedprox,0.7959398184040172,0.848427841977963,0.7755648487804996,0.7515204104073104
12,fedprox,0.7732571930850676,0.8226283257188928,0.7607609216739737,0.7438918136162845
13,fedprox,0.8055229642464916,0.8511152915882827,0.8024057902295515,0.7839480942853689
14,fedprox,0.7918513263453585,0.8481590970169309,0.7961908389064281,0.7776580492420158
15,fedprox,0.7866910953955444,0.8513840365493147,0.7778319673401131,0.7497285542984112
16,fedprox,0.7927153991235895,0.846546627250739,0.773135951264022,0.7537808301506439
17,fedprox,0.7962641022593535,0.8551464660037624,0.7850581556405711,0.7571868597332652
18,fedprox,0.8109352301676002,0.8599838753023381,0.827487145293493,0.808656748269842
19,fedprox,0.8350231783112101,0.8704649287825853,0.8247131473216531,0.8119122432562978
0,ditto,0.4694416350097302,0.6436441816715937,0.5195704123119019,0.4789986687028373
1,ditto,0.5979281730787382,0.6906745498521902,0.6348558380321252,0.6083366048193054
2,ditto,0.6228369537743687,0.7334049986562752,0.6555314163298573,0.615629669230744
3,ditto,0.6597450849490742,0.7678043536683687,0.6540225790308827,0.615174575652422
4,ditto,0.7198992328216098,0.8003224939532384,0.7274075472417134,0.7027802028129849
5,ditto,0.7009611513421692,0.7831228164471916,0.7188427398390363,0.6883075481000698
6,ditto,0.7297556620027296,0.8153722117710293,0.720993228007365,0.6843597742045261
7,ditto,0.7537857634992833,0.8269282450954044,0.7462469674349308,0.7195477698424791
8,ditto,0.7799363825021,0.8328406342381081,0.7669384387849845,0.747513092016759
9,ditto,0.7580482137541122,0.8306906745498522,0.7519705906966894,0.7234710349355963
10,ditto,0.7577570570569077,0.847352862133835,0.7578063863863203,0.7132282774100689
11,ditto,0.8010198580445761,0.8551464660037624,0.7788345494033138,0.7529651454288813
12,ditto,0.7827655934533,0.8554152109647944,0.7450124110559111,0.7103749507257977
13,ditto,0.7904596698981279,0.8583714055361462,0.7627598730031568,0.7282255496676603
14,ditto,0.8325371867627159,0.8782585326525127,0.8326193069572725,0.8204866970076815
15,ditto,0.8176020248677561,0.875571083042193,0.8065473658863775,0.7818654992294478
16,ditto,0.7959449573099686,0.8564901908089223,0.7962299867423257,0.7789625013013006
17,ditto,0.8283280675115963,0.8761085729642569,0.818508751261775,0.7977462363104545
18,ditto,0.8450060989348996,0.8925020155872078,0.8434940501428586,0.830825795379015
19,ditto,0.8363151941179716,0.888202096210696,0.8218372657730236,0.8063069575777325
